zipcode,year,risk_level,accident_frequency
90001,2010,0,46
90001,2011,0,23
90001,2012,0,35
90001,2013,0,38
90001,2014,0,37
90001,2015,0,40
90001,2016,0,46
90001,2017,0,71
90001,2018,0,55
90001,2019,0,73
90001,2020,0,57
90001,2021,0,31
90001,2022,0,24
90002,2010,1,233
90002,2011,1,203
90002,2012,1,234
90002,2013,1,220
90002,2014,2,294
90002,2015,2,296
90002,2016,2,343
90002,2017,2,339
90002,2018,2,351
90002,2019,2,405
90002,2020,2,483
90002,2021,1,179
90002,2022,1,136
90003,2010,2,845
90003,2011,2,809
90003,2012,2,790
90003,2013,2,812
90003,2014,2,889
90003,2015,2,1084
90003,2016,2,1283
90003,2017,2,1371
90003,2018,2,1271
90003,2019,2,1571
90003,2020,2,1653
90003,2021,2,719
90003,2022,2,532
90004,2010,2,579
90004,2011,2,539
90004,2012,2,586
90004,2013,2,583
90004,2014,2,578
90004,2015,2,633
90004,2016,2,705
90004,2017,2,744
90004,2018,2,675
90004,2019,2,751
90004,2020,2,567
90004,2021,2,284
90004,2022,1,212
90005,2010,2,583
90005,2011,2,613
90005,2012,2,660
90005,2013,2,609
90005,2014,2,655
90005,2015,2,664
90005,2016,2,698
90005,2017,2,747
90005,2018,2,706
90005,2019,2,750
90005,2020,2,505
90005,2021,1,223
90005,2022,1,181
90006,2010,2,1011
90006,2011,2,941
90006,2012,2,1006
90006,2013,2,930
90006,2014,2,983
90006,2015,2,1005
90006,2016,2,1119
90006,2017,2,1156
90006,2018,2,1293
90006,2019,2,1332
90006,2020,2,935
90006,2021,2,410
90006,2022,2,393
90007,2010,2,544
90007,2011,2,585
90007,2012,2,555
90007,2013,2,519
90007,2014,2,627
90007,2015,2,698
90007,2016,2,790
90007,2017,2,779
90007,2018,2,810
90007,2019,2,859
90007,2020,2,620
90007,2021,2,278
90007,2022,2,252
90008,2010,1,191
90008,2011,1,206
90008,2012,1,201
90008,2013,1,202
90008,2014,2,255
90008,2015,2,259
90008,2016,1,237
90008,2017,2,259
90008,2018,1,232
90008,2019,1,233
90008,2020,1,206
90008,2021,0,96
90008,2022,0,52
90010,2010,1,233
90010,2011,2,272
90010,2012,2,260
90010,2013,2,264
90010,2014,2,283
90010,2015,2,320
90010,2016,2,363
90010,2017,2,367
90010,2018,2,349
90010,2019,2,380
90010,2020,1,220
90010,2021,0,89
90010,2022,0,104
90011,2010,2,373
90011,2011,2,368
90011,2012,2,346
90011,2013,2,407
90011,2014,2,442
90011,2015,2,535
90011,2016,2,588
90011,2017,2,681
90011,2018,2,654
90011,2019,2,640
90011,2020,2,557
90011,2021,2,252
90011,2022,1,199
90012,2010,2,357
90012,2011,2,384
90012,2012,2,401
90012,2013,2,392
90012,2014,2,405
90012,2015,2,441
90012,2016,2,518
90012,2017,2,534
90012,2018,2,526
90012,2019,2,617
90012,2020,2,337
90012,2021,1,204
90012,2022,1,208
90013,2010,1,237
90013,2011,2,271
90013,2012,1,239
90013,2013,2,247
90013,2014,2,286
90013,2015,2,324
90013,2016,2,354
90013,2017,2,361
90013,2018,2,353
90013,2019,2,420
90013,2020,2,269
90013,2021,1,169
90013,2022,1,129
90014,2010,1,223
90014,2011,1,209
90014,2012,1,217
90014,2013,1,239
90014,2014,2,259
90014,2015,2,273
90014,2016,2,321
90014,2017,2,307
90014,2018,2,282
90014,2019,2,295
90014,2020,2,283
90014,2021,0,118
90014,2022,1,140
90015,2010,2,334
90015,2011,2,380
90015,2012,2,383
90015,2013,2,371
90015,2014,2,410
90015,2015,2,482
90015,2016,2,579
90015,2017,2,592
90015,2018,2,608
90015,2019,2,669
90015,2020,2,545
90015,2021,1,226
90015,2022,1,204
90016,2010,2,430
90016,2011,2,376
90016,2012,2,398
90016,2013,2,375
90016,2014,2,414
90016,2015,2,517
90016,2016,2,534
90016,2017,2,526
90016,2018,2,541
90016,2019,2,586
90016,2020,2,485
90016,2021,1,175
90016,2022,1,165
90017,2010,2,306
90017,2011,2,327
90017,2012,2,323
90017,2013,2,353
90017,2014,2,366
90017,2015,2,411
90017,2016,2,404
90017,2017,2,427
90017,2018,2,465
90017,2019,2,541
90017,2020,2,385
90017,2021,1,208
90017,2022,1,169
90018,2010,2,658
90018,2011,2,662
90018,2012,2,586
90018,2013,2,588
90018,2014,2,672
90018,2015,2,768
90018,2016,2,772
90018,2017,2,822
90018,2018,2,783
90018,2019,2,867
90018,2020,2,725
90018,2021,2,294
90018,2022,1,219
90019,2010,2,648
90019,2011,2,672
90019,2012,2,729
90019,2013,2,655
90019,2014,2,714
90019,2015,2,720
90019,2016,2,827
90019,2017,2,832
90019,2018,2,843
90019,2019,2,926
90019,2020,2,702
90019,2021,2,284
90019,2022,2,261
90021,2010,2,343
90021,2011,2,327
90021,2012,2,354
90021,2013,2,384
90021,2014,2,426
90021,2015,2,438
90021,2016,2,518
90021,2017,2,534
90021,2018,2,511
90021,2019,2,509
90021,2020,2,398
90021,2021,1,170
90021,2022,1,153
90022,2010,0,0
90022,2011,0,0
90022,2012,0,1
90022,2013,0,0
90022,2014,0,1
90022,2015,0,0
90022,2016,0,0
90022,2017,0,0
90022,2018,0,0
90022,2019,0,0
90022,2020,0,0
90022,2021,0,0
90022,2022,0,0
90023,2010,1,188
90023,2011,1,199
90023,2012,1,193
90023,2013,1,175
90023,2014,1,238
90023,2015,2,242
90023,2016,2,295
90023,2017,2,324
90023,2018,2,313
90023,2019,2,303
90023,2020,1,240
90023,2021,0,102
90023,2022,0,85
90024,2010,2,326
90024,2011,2,352
90024,2012,2,363
90024,2013,2,384
90024,2014,2,334
90024,2015,2,365
90024,2016,2,389
90024,2017,2,356
90024,2018,2,372
90024,2019,2,414
90024,2020,2,259
90024,2021,0,108
90024,2022,0,100
90025,2010,2,733
90025,2011,2,768
90025,2012,2,798
90025,2013,2,795
90025,2014,2,727
90025,2015,2,733
90025,2016,2,782
90025,2017,2,760
90025,2018,2,790
90025,2019,2,852
90025,2020,2,483
90025,2021,1,166
90025,2022,1,199
90026,2010,2,420
90026,2011,2,431
90026,2012,2,445
90026,2013,2,427
90026,2014,2,435
90026,2015,2,498
90026,2016,2,433
90026,2017,2,447
90026,2018,2,553
90026,2019,2,571
90026,2020,2,386
90026,2021,1,181
90026,2022,1,179
90027,2010,1,172
90027,2011,1,170
90027,2012,1,165
90027,2013,1,183
90027,2014,1,182
90027,2015,1,190
90027,2016,1,233
90027,2017,1,203
90027,2018,1,179
90027,2019,1,199
90027,2020,1,148
90027,2021,0,74
90027,2022,0,75
90028,2010,2,822
90028,2011,2,907
90028,2012,2,861
90028,2013,2,869
90028,2014,2,820
90028,2015,2,840
90028,2016,2,938
90028,2017,2,985
90028,2018,2,993
90028,2019,2,1149
90028,2020,2,762
90028,2021,2,355
90028,2022,2,318
90029,2010,2,829
90029,2011,2,841
90029,2012,2,839
90029,2013,2,870
90029,2014,2,867
90029,2015,2,902
90029,2016,2,842
90029,2017,2,848
90029,2018,2,926
90029,2019,2,965
90029,2020,2,636
90029,2021,2,270
90029,2022,1,239
90031,2010,2,325
90031,2011,2,316
90031,2012,2,345
90031,2013,2,347
90031,2014,2,330
90031,2015,2,379
90031,2016,2,348
90031,2017,2,434
90031,2018,2,390
90031,2019,2,425
90031,2020,2,332
90031,2021,1,173
90031,2022,0,116
90032,2010,2,246
90032,2011,1,231
90032,2012,1,240
90032,2013,2,244
90032,2014,1,221
90032,2015,2,275
90032,2016,1,240
90032,2017,2,258
90032,2018,2,244
90032,2019,1,239
90032,2020,1,194
90032,2021,0,102
90032,2022,0,81
90033,2010,2,497
90033,2011,2,482
90033,2012,2,505
90033,2013,2,484
90033,2014,2,559
90033,2015,2,570
90033,2016,2,630
90033,2017,2,713
90033,2018,2,648
90033,2019,2,638
90033,2020,2,497
90033,2021,2,252
90033,2022,1,237
90034,2010,2,277
90034,2011,2,276
90034,2012,2,297
90034,2013,2,260
90034,2014,2,267
90034,2015,2,247
90034,2016,2,313
90034,2017,2,313
90034,2018,2,292
90034,2019,2,352
90034,2020,1,227
90034,2021,0,106
90034,2022,0,70
90035,2010,2,366
90035,2011,2,420
90035,2012,2,404
90035,2013,2,426
90035,2014,2,423
90035,2015,2,425
90035,2016,2,501
90035,2017,2,489
90035,2018,2,477
90035,2019,2,491
90035,2020,2,405
90035,2021,1,158
90035,2022,1,153
90036,2010,2,535
90036,2011,2,559
90036,2012,2,576
90036,2013,2,596
90036,2014,2,546
90036,2015,2,610
90036,2016,2,705
90036,2017,2,671
90036,2018,2,684
90036,2019,2,659
90036,2020,2,446
90036,2021,1,182
90036,2022,1,173
90037,2010,2,935
90037,2011,2,906
90037,2012,2,885
90037,2013,2,973
90037,2014,2,1016
90037,2015,2,1105
90037,2016,2,1314
90037,2017,2,1427
90037,2018,2,1332
90037,2019,2,1428
90037,2020,2,1449
90037,2021,2,569
90037,2022,2,516
90038,2010,2,831
90038,2011,2,903
90038,2012,2,909
90038,2013,2,813
90038,2014,2,878
90038,2015,2,888
90038,2016,2,1036
90038,2017,2,978
90038,2018,2,971
90038,2019,2,1054
90038,2020,2,656
90038,2021,2,364
90038,2022,2,299
90039,2010,1,226
90039,2011,2,250
90039,2012,2,279
90039,2013,2,283
90039,2014,2,253
90039,2015,2,261
90039,2016,2,277
90039,2017,2,285
90039,2018,2,307
90039,2019,2,329
90039,2020,1,196
90039,2021,0,98
90039,2022,0,74
90040,2010,0,1
90040,2011,0,0
90040,2012,0,0
90040,2013,0,0
90040,2014,0,0
90040,2015,0,0
90040,2016,0,0
90040,2017,0,0
90040,2018,0,0
90040,2019,0,0
90040,2020,0,0
90040,2021,0,0
90040,2022,0,0
90041,2010,1,201
90041,2011,1,207
90041,2012,1,206
90041,2013,1,184
90041,2014,1,167
90041,2015,2,251
90041,2016,1,216
90041,2017,1,190
90041,2018,1,196
90041,2019,1,206
90041,2020,1,147
90041,2021,0,69
90041,2022,0,70
90042,2010,1,232
90042,2011,1,210
90042,2012,2,266
90042,2013,1,217
90042,2014,2,242
90042,2015,2,246
90042,2016,2,260
90042,2017,2,267
90042,2018,2,269
90042,2019,2,280
90042,2020,1,193
90042,2021,0,71
90042,2022,0,89
90043,2010,2,493
90043,2011,2,463
90043,2012,2,479
90043,2013,2,469
90043,2014,2,532
90043,2015,2,589
90043,2016,2,691
90043,2017,2,713
90043,2018,2,698
90043,2019,2,770
90043,2020,2,756
90043,2021,2,277
90043,2022,1,181
90044,2010,2,434
90044,2011,2,415
90044,2012,2,395
90044,2013,2,384
90044,2014,2,421
90044,2015,2,494
90044,2016,2,581
90044,2017,2,624
90044,2018,2,637
90044,2019,2,742
90044,2020,2,717
90044,2021,2,341
90044,2022,2,263
90045,2010,2,283
90045,2011,2,290
90045,2012,2,304
90045,2013,2,308
90045,2014,2,329
90045,2015,2,362
90045,2016,2,485
90045,2017,2,491
90045,2018,2,543
90045,2019,2,576
90045,2020,2,297
90045,2021,1,161
90045,2022,1,134
90046,2010,2,332
90046,2011,2,319
90046,2012,2,323
90046,2013,2,315
90046,2014,2,297
90046,2015,2,283
90046,2016,2,343
90046,2017,2,383
90046,2018,2,370
90046,2019,2,371
90046,2020,2,324
90046,2021,1,143
90046,2022,0,83
90047,2010,2,295
90047,2011,2,276
90047,2012,2,276
90047,2013,2,296
90047,2014,2,332
90047,2015,2,356
90047,2016,2,428
90047,2017,2,435
90047,2018,2,357
90047,2019,2,490
90047,2020,2,479
90047,2021,1,190
90047,2022,1,128
90048,2010,2,456
90048,2011,2,477
90048,2012,2,529
90048,2013,2,538
90048,2014,2,483
90048,2015,2,479
90048,2016,2,615
90048,2017,2,588
90048,2018,2,609
90048,2019,2,685
90048,2020,2,399
90048,2021,1,185
90048,2022,1,149
90049,2010,1,131
90049,2011,1,123
90049,2012,1,138
90049,2013,1,137
90049,2014,1,123
90049,2015,0,119
90049,2016,1,164
90049,2017,1,144
90049,2018,1,126
90049,2019,1,177
90049,2020,0,114
90049,2021,0,56
90049,2022,0,47
90056,2010,0,95
90056,2011,0,105
90056,2012,0,106
90056,2013,0,90
90056,2014,0,105
90056,2015,0,96
90056,2016,1,122
90056,2017,1,145
90056,2018,1,138
90056,2019,1,136
90056,2020,0,95
90056,2021,0,37
90056,2022,0,32
90057,2010,2,516
90057,2011,2,498
90057,2012,2,423
90057,2013,2,478
90057,2014,2,520
90057,2015,2,595
90057,2016,2,494
90057,2017,2,603
90057,2018,2,772
90057,2019,2,797
90057,2020,2,570
90057,2021,2,308
90057,2022,2,247
90058,2010,0,1
90058,2011,0,0
90058,2012,0,1
90058,2013,0,0
90058,2014,0,1
90058,2015,0,0
90058,2016,0,0
90058,2017,0,0
90058,2018,0,0
90058,2019,0,0
90058,2020,0,0
90058,2021,0,0
90058,2022,0,0
90059,2010,1,205
90059,2011,1,211
90059,2012,1,186
90059,2013,1,228
90059,2014,1,225
90059,2015,2,242
90059,2016,2,288
90059,2017,2,290
90059,2018,2,271
90059,2019,2,329
90059,2020,2,369
90059,2021,1,151
90059,2022,1,124
90061,2010,2,253
90061,2011,1,225
90061,2012,2,244
90061,2013,1,229
90061,2014,2,256
90061,2015,2,289
90061,2016,2,322
90061,2017,2,375
90061,2018,2,331
90061,2019,2,395
90061,2020,2,365
90061,2021,1,162
90061,2022,1,145
90062,2010,2,642
90062,2011,2,698
90062,2012,2,590
90062,2013,2,577
90062,2014,2,658
90062,2015,2,735
90062,2016,2,835
90062,2017,2,850
90062,2018,2,861
90062,2019,2,1011
90062,2020,2,943
90062,2021,2,408
90062,2022,2,275
90063,2010,0,23
90063,2011,0,28
90063,2012,0,28
90063,2013,0,26
90063,2014,0,28
90063,2015,0,41
90063,2016,0,36
90063,2017,0,43
90063,2018,0,42
90063,2019,0,36
90063,2020,0,28
90063,2021,0,9
90063,2022,0,16
90064,2010,2,241
90064,2011,2,281
90064,2012,2,253
90064,2013,2,248
90064,2014,2,265
90064,2015,1,221
90064,2016,2,292
90064,2017,2,253
90064,2018,2,270
90064,2019,2,251
90064,2020,1,194
90064,2021,0,74
90064,2022,0,55
90065,2010,1,138
90065,2011,0,109
90065,2012,0,117
90065,2013,0,112
90065,2014,1,137
90065,2015,1,175
90065,2016,1,156
90065,2017,1,169
90065,2018,1,158
90065,2019,1,165
90065,2020,1,129
90065,2021,0,67
90065,2022,0,62
90066,2010,2,242
90066,2011,2,241
90066,2012,1,239
90066,2013,1,215
90066,2014,1,230
90066,2015,1,224
90066,2016,2,303
90066,2017,2,275
90066,2018,2,336
90066,2019,2,314
90066,2020,1,198
90066,2021,0,101
90066,2022,0,60
90067,2010,0,67
90067,2011,0,108
90067,2012,0,97
90067,2013,0,100
90067,2014,0,90
90067,2015,0,90
90067,2016,0,81
90067,2017,0,92
90067,2018,0,77
90067,2019,0,111
90067,2020,0,65
90067,2021,0,23
90067,2022,0,30
90068,2010,0,49
90068,2011,0,31
90068,2012,0,48
90068,2013,0,36
90068,2014,0,29
90068,2015,0,49
90068,2016,0,59
90068,2017,0,66
90068,2018,0,62
90068,2019,0,86
90068,2020,0,54
90068,2021,0,34
90068,2022,0,21
90069,2010,0,90
90069,2011,0,118
90069,2012,0,111
90069,2013,0,111
90069,2014,0,104
90069,2015,0,112
90069,2016,1,125
90069,2017,0,115
90069,2018,1,124
90069,2019,1,129
90069,2020,0,97
90069,2021,0,43
90069,2022,0,48
90071,2010,1,225
90071,2011,2,272
90071,2012,1,238
90071,2013,1,237
90071,2014,1,238
90071,2015,2,269
90071,2016,2,309
90071,2017,2,348
90071,2018,2,366
90071,2019,2,341
90071,2020,2,247
90071,2021,1,138
90071,2022,1,136
90077,2010,0,67
90077,2011,0,69
90077,2012,0,95
90077,2013,0,76
90077,2014,0,71
90077,2015,0,68
90077,2016,0,72
90077,2017,0,72
90077,2018,0,79
90077,2019,0,88
90077,2020,0,67
90077,2021,0,31
90077,2022,0,31
90079,2010,2,248
90079,2011,1,239
90079,2012,2,280
90079,2013,2,285
90079,2014,2,253
90079,2015,2,301
90079,2016,2,333
90079,2017,2,301
90079,2018,2,343
90079,2019,2,380
90079,2020,2,298
90079,2021,1,132
90079,2022,1,129
90094,2010,1,217
90094,2011,1,212
90094,2012,1,201
90094,2013,1,198
90094,2014,1,184
90094,2015,1,229
90094,2016,2,255
90094,2017,2,246
90094,2018,2,284
90094,2019,2,304
90094,2020,1,193
90094,2021,0,78
90094,2022,0,92
90101,2010,0,0
90101,2011,0,1
90101,2012,0,0
90101,2013,0,1
90101,2014,0,0
90101,2015,0,0
90101,2016,0,0
90101,2017,0,0
90101,2018,0,0
90101,2019,0,0
90101,2020,0,0
90101,2021,0,0
90101,2022,0,0
90210,2010,0,21
90210,2011,0,25
90210,2012,0,31
90210,2013,0,30
90210,2014,0,28
90210,2015,0,31
90210,2016,0,35
90210,2017,0,35
90210,2018,0,34
90210,2019,0,41
90210,2020,0,22
90210,2021,0,11
90210,2022,0,11
90211,2010,1,127
90211,2011,1,146
90211,2012,1,151
90211,2013,1,125
90211,2014,1,144
90211,2015,0,114
90211,2016,1,168
90211,2017,1,161
90211,2018,1,148
90211,2019,1,155
90211,2020,0,85
90211,2021,0,35
90211,2022,0,33
90212,2010,0,50
90212,2011,0,51
90212,2012,0,61
90212,2013,0,61
90212,2014,0,61
90212,2015,0,67
90212,2016,0,55
90212,2017,0,74
90212,2018,0,59
90212,2019,0,57
90212,2020,0,38
90212,2021,0,11
90212,2022,0,15
90222,2010,0,0
90222,2011,0,0
90222,2012,0,0
90222,2013,0,1
90222,2014,0,0
90222,2015,0,0
90222,2016,0,0
90222,2017,0,0
90222,2018,0,0
90222,2019,0,0
90222,2020,0,0
90222,2021,0,0
90222,2022,0,0
90230,2010,0,74
90230,2011,0,47
90230,2012,0,51
90230,2013,0,62
90230,2014,0,68
90230,2015,0,68
90230,2016,0,100
90230,2017,0,86
90230,2018,0,88
90230,2019,0,94
90230,2020,0,48
90230,2021,0,16
90230,2022,0,21
90232,2010,1,121
90232,2011,1,137
90232,2012,0,110
90232,2013,1,134
90232,2014,1,124
90232,2015,0,112
90232,2016,1,122
90232,2017,0,115
90232,2018,1,125
90232,2019,0,113
90232,2020,0,83
90232,2021,0,40
90232,2022,0,37
90240,2010,0,0
90240,2011,0,3
90240,2012,0,2
90240,2013,0,1
90240,2014,0,3
90240,2015,0,0
90240,2016,0,0
90240,2017,0,0
90240,2018,0,0
90240,2019,0,0
90240,2020,0,0
90240,2021,0,0
90240,2022,0,0
90241,2010,0,5
90241,2011,0,0
90241,2012,0,5
90241,2013,0,1
90241,2014,0,2
90241,2015,0,0
90241,2016,0,0
90241,2017,0,0
90241,2018,0,0
90241,2019,0,0
90241,2020,0,0
90241,2021,0,0
90241,2022,0,0
90242,2010,0,0
90242,2011,0,1
90242,2012,0,0
90242,2013,0,0
90242,2014,0,0
90242,2015,0,0
90242,2016,0,0
90242,2017,0,0
90242,2018,0,0
90242,2019,0,0
90242,2020,0,0
90242,2021,0,0
90242,2022,0,0
90245,2010,0,3
90245,2011,0,6
90245,2012,0,2
90245,2013,0,3
90245,2014,0,4
90245,2015,0,3
90245,2016,0,4
90245,2017,0,3
90245,2018,0,4
90245,2019,0,1
90245,2020,0,2
90245,2021,0,3
90245,2022,0,0
90247,2010,0,64
90247,2011,0,67
90247,2012,0,89
90247,2013,0,84
90247,2014,0,85
90247,2015,0,82
90247,2016,0,89
90247,2017,0,87
90247,2018,0,97
90247,2019,0,102
90247,2020,0,100
90247,2021,0,49
90247,2022,0,38
90248,2010,0,54
90248,2011,0,61
90248,2012,0,53
90248,2013,0,51
90248,2014,0,73
90248,2015,0,66
90248,2016,0,80
90248,2017,0,88
90248,2018,0,62
90248,2019,0,101
90248,2020,0,60
90248,2021,0,36
90248,2022,0,23
90249,2010,0,1
90249,2011,0,0
90249,2012,0,0
90249,2013,0,0
90249,2014,0,0
90249,2015,0,0
90249,2016,0,0
90249,2017,0,0
90249,2018,0,0
90249,2019,0,0
90249,2020,0,0
90249,2021,0,0
90249,2022,0,0
90254,2010,0,3
90254,2011,0,2
90254,2012,0,2
90254,2013,0,6
90254,2014,0,2
90254,2015,0,0
90254,2016,0,0
90254,2017,0,0
90254,2018,0,0
90254,2019,0,0
90254,2020,0,0
90254,2021,0,0
90254,2022,0,0
90255,2010,0,1
90255,2011,0,0
90255,2012,0,0
90255,2013,0,0
90255,2014,0,0
90255,2015,0,0
90255,2016,0,0
90255,2017,0,0
90255,2018,0,0
90255,2019,0,0
90255,2020,0,0
90255,2021,0,0
90255,2022,0,0
90261,2010,0,0
90261,2011,0,0
90261,2012,0,2
90261,2013,0,1
90261,2014,0,0
90261,2015,0,0
90261,2016,0,0
90261,2017,0,0
90261,2018,0,0
90261,2019,0,0
90261,2020,0,0
90261,2021,0,0
90261,2022,0,0
90266,2010,0,5
90266,2011,0,4
90266,2012,0,3
90266,2013,0,7
90266,2014,0,4
90266,2015,0,0
90266,2016,0,0
90266,2017,0,0
90266,2018,0,0
90266,2019,0,0
90266,2020,0,1
90266,2021,0,0
90266,2022,0,0
90272,2010,0,86
90272,2011,0,89
90272,2012,1,125
90272,2013,0,117
90272,2014,0,94
90272,2015,0,95
90272,2016,1,124
90272,2017,0,103
90272,2018,0,117
90272,2019,1,125
90272,2020,0,116
90272,2021,0,39
90272,2022,0,44
90275,2010,1,128
90275,2011,0,120
90275,2012,0,118
90275,2013,1,149
90275,2014,1,148
90275,2015,1,192
90275,2016,1,193
90275,2017,1,165
90275,2018,1,127
90275,2019,1,171
90275,2020,1,162
90275,2021,0,57
90275,2022,0,48
90277,2010,0,0
90277,2011,0,1
90277,2012,0,0
90277,2013,0,0
90277,2014,0,0
90277,2015,0,0
90277,2016,0,0
90277,2017,0,0
90277,2018,0,0
90277,2019,0,0
90277,2020,0,0
90277,2021,0,0
90277,2022,0,0
90290,2010,0,2
90290,2011,0,4
90290,2012,0,5
90290,2013,0,3
90290,2014,0,2
90290,2015,0,6
90290,2016,0,9
90290,2017,0,2
90290,2018,0,4
90290,2019,0,2
90290,2020,0,4
90290,2021,0,3
90290,2022,0,1
90291,2010,2,332
90291,2011,2,336
90291,2012,2,399
90291,2013,2,341
90291,2014,2,370
90291,2015,2,408
90291,2016,2,473
90291,2017,2,410
90291,2018,2,462
90291,2019,2,518
90291,2020,2,362
90291,2021,1,162
90291,2022,1,158
90292,2010,0,94
90292,2011,0,79
90292,2012,0,73
90292,2013,0,79
90292,2014,0,64
90292,2015,0,76
90292,2016,0,96
90292,2017,0,94
90292,2018,0,99
90292,2019,0,88
90292,2020,0,81
90292,2021,0,38
90292,2022,0,22
90293,2010,0,88
90293,2011,0,80
90293,2012,0,88
90293,2013,0,76
90293,2014,0,76
90293,2015,0,77
90293,2016,0,96
90293,2017,0,92
90293,2018,0,86
90293,2019,0,88
90293,2020,0,94
90293,2021,0,49
90293,2022,0,37
90301,2010,0,54
90301,2011,0,69
90301,2012,0,72
90301,2013,0,65
90301,2014,0,77
90301,2015,0,60
90301,2016,0,60
90301,2017,0,75
90301,2018,0,79
90301,2019,0,83
90301,2020,0,41
90301,2021,0,22
90301,2022,0,9
90302,2010,0,7
90302,2011,0,10
90302,2012,0,4
90302,2013,0,17
90302,2014,0,10
90302,2015,0,18
90302,2016,0,17
90302,2017,0,15
90302,2018,0,21
90302,2019,0,29
90302,2020,0,12
90302,2021,0,7
90302,2022,0,2
90303,2010,0,0
90303,2011,0,0
90303,2012,0,0
90303,2013,0,0
90303,2014,0,1
90303,2015,0,0
90303,2016,0,0
90303,2017,0,0
90303,2018,0,0
90303,2019,0,0
90303,2020,0,0
90303,2021,0,0
90303,2022,0,0
90304,2010,0,37
90304,2011,0,39
90304,2012,0,39
90304,2013,0,32
90304,2014,0,31
90304,2015,0,40
90304,2016,0,34
90304,2017,0,51
90304,2018,0,61
90304,2019,0,47
90304,2020,0,26
90304,2021,0,10
90304,2022,0,15
90305,2010,0,0
90305,2011,0,0
90305,2012,0,0
90305,2013,0,0
90305,2014,0,1
90305,2015,0,0
90305,2016,0,0
90305,2017,0,0
90305,2018,0,0
90305,2019,0,0
90305,2020,0,0
90305,2021,0,0
90305,2022,0,0
90311,2010,0,2
90311,2011,0,3
90311,2012,0,2
90311,2013,0,2
90311,2014,0,1
90311,2015,0,0
90311,2016,0,0
90311,2017,0,0
90311,2018,0,0
90311,2019,0,0
90311,2020,0,0
90311,2021,0,0
90311,2022,0,0
90401,2010,0,12
90401,2011,0,10
90401,2012,0,8
90401,2013,0,16
90401,2014,0,22
90401,2015,0,5
90401,2016,0,9
90401,2017,0,7
90401,2018,0,13
90401,2019,0,8
90401,2020,0,12
90401,2021,0,3
90401,2022,0,3
90402,2010,0,89
90402,2011,0,89
90402,2012,0,77
90402,2013,0,83
90402,2014,0,58
90402,2015,0,67
90402,2016,0,86
90402,2017,0,88
90402,2018,0,80
90402,2019,0,87
90402,2020,0,88
90402,2021,0,41
90402,2022,0,23
